source,headline,url,published,content_snippet,full_content,url_hash,method,scraped_at
Ars Technica,UK to “encourage” Apple and Google to put nudity-blocking systems on phones,https://arstechnica.com/tech-policy/2025/12/uk-to-encourage-apple-and-google-to-put-nudity-blocking-systems-on-phones/,,"Government seeks ""nudity-detection algorithms"" in iOS and Android, report says.","Government seeks ""nudity-detection algorithms"" in iOS and Android, report says.",43965ea00ae94732d31c8f959dbf90e8,rss,2025-12-16T03:38:25.325321
Ars Technica,Google will end dark web reports that alerted users to leaked data,https://arstechnica.com/gadgets/2025/12/google-is-shutting-down-dark-web-reports-in-january-because-they-werent-helpful/,,"Google says the reports lacked ""helpful next steps.""","Google says the reports lacked ""helpful next steps.""",37c480e2e71e894e7aa41fff5ababddd,rss,2025-12-16T03:38:26.981984
Wired,Cozy Earth Is Offering 40 Percent off Pajamas Right Now,https://www.wired.com/story/cozy-earth-pajamas-flash-deal-december-2025/,,"Rarely are deals better than what you see on Black Friday, but Cozy Earth's upping the ante for this pajama sale.","Rarely are deals better than what you see on Black Friday, but Cozy Earth's upping the ante for this pajama sale.",a665613fee121b29ff05ba225c5d2c56,rss,2025-12-16T03:39:28.642984
Wired,Get 22 Percent Off One of Our (and Taylor Swift’s) Favorite Pillows,https://www.wired.com/story/coop-pillow-sale-taylor-swift-2025/,,"Eagle-eyed Swifties have ID’d the star’s pillow brand in a recent TV show appearance, and it’s one of my favorites as well. Coop is having a special sale to commemorate the event.","Eagle-eyed Swifties have ID’d the star’s pillow brand in a recent TV show appearance, and it’s one of my favorites as well. Coop is having a special sale to commemorate the event.",964c649a64ea7f566e38721abc56d785,rss,2025-12-16T03:39:29.171424
Wired,Nvidia Becomes a Major Model Maker With Nemotron 3,https://www.wired.com/story/nvidia-becomes-major-model-maker-nemotron-3/,,The world’s top chipmaker wants open source AI to succeed—perhaps because closed models increasingly run on its rivals’ silicon.,The world’s top chipmaker wants open source AI to succeed—perhaps because closed models increasingly run on its rivals’ silicon.,f3ff2ccdae04a106e429516cc17ccd0e,rss,2025-12-16T03:39:29.732732
Wired,This Startup Wants to Build Self-Driving Car Software—Super Fast,https://www.wired.com/story/hyprlabs-wants-to-build-a-self-driving-robot-super-fast/,,The autonomous vehicle industry is heating up thanks to advances in AI. But can those same innovations help startups like HyprLabs build safe tech?,The autonomous vehicle industry is heating up thanks to advances in AI. But can those same innovations help startups like HyprLabs build safe tech?,35f7af7bbe54554fe8a2866fc839e718,rss,2025-12-16T03:39:30.233865
Wired,"7 Best Desktop Computers (2025): Gaming, Macs, Compact, and More",https://www.wired.com/gallery/best-desktop-computers/,,"Despite advancements in laptops, desktop computers still have a place. These are the WIRED-tested options you should consider.","Despite advancements in laptops, desktop computers still have a place. These are the WIRED-tested options you should consider.",14a285ce8b78437dd969313f34f23e39,rss,2025-12-16T03:39:30.929598
Engadget,Disney+ is now available to stream on Meta's Quest headsets,https://www.engadget.com/ar-vr/disney-is-now-available-to-stream-on-metas-quest-headsets-203622392.html?src=rss,,"<p>Meta revealed that Disney+ was coming to its Quest headsets earlier this year during its Connect event. Now, the streaming app and its vast catalog are <a class=""no-affiliate-link link"" href=""https","<p>Meta revealed that Disney+ was coming to its Quest headsets earlier this year during its Connect event. Now, the streaming app and its vast catalog are <a class=""no-affiliate-link link"" href=""https://www.meta.com/blog/disney-plus-meta-quest-launch/"" target=""_blank"">finally available</a> to Meta's VR users in the United States.</p><p>Meta recently overhauled the Quest's entertainment experience with a new <a class=""link"" href=""https://www.engadget.com/entertainment/streaming/meta-horizon-tv-is-an-entertainment-hub-for-vr-headsets-011216955.html"" target=""_blank"">Horizon TV hub</a> that brings its streaming features into one place. Horizon TV also added support for Dolby Vision and Dolby Atmos sound, both of which Disney+ subscribers can now take advantage of. According to Meta, there are a&quot;select&quot; number of titles available to stream in Dolby Vision 4K HDR, and Disney+ Premium subscribers can stream with Dolby Atmos Sound. The company also says there are more than 100 titles in Disney's catalog that support 4K UHD and HDR and some Marvel and Pixar titles that support IMAX's <a class=""link"" href=""https://help.disneyplus.com/article/disneyplus-imax-enhanced"" target=""_blank"">expanded aspect ratio</a>.&nbsp;</p><p>The app is <a class=""link rapid-with-clickid"" href=""https://shopping.yahoo.com/rdlw?merchantId=e160a5dc-fb38-4e8b-ae1d-1ad5eb060fbd&amp;siteId=us-engadget&amp;pageId=1p-autolink&amp;contentUuid=d569209c-2852-4850-9f9a-9fa978a0d520&amp;featureId=text-link&amp;merchantName=Meta&amp;linkText=available+now&amp;custData=eyJzb3VyY2VOYW1lIjoiV2ViLURlc2t0b3AtVmVyaXpvbiIsImxhbmRpbmdVcmwiOiJodHRwczovL3d3dy5tZXRhLmNvbS9leHBlcmllbmNlcy9kaXNuZXkvMTAwNjgxNzQ5MTY1OTI5NjUvP2ludGVybl9zb3VyY2U9YmxvZyZpbnRlcm5fY29udGVudD1kaXNuZXktcGx1cy1tZXRhLXF1ZXN0LWxhdW5jaCIsImNvbnRlbnRVdWlkIjoiZDU2OTIwOWMtMjg1Mi00ODUwLTlmOWEtOWZhOTc4YTBkNTIwIiwib3JpZ2luYWxVcmwiOiJodHRwczovL3d3dy5tZXRhLmNvbS9leHBlcmllbmNlcy9kaXNuZXkvMTAwNjgxNzQ5MTY1OTI5NjUvP2ludGVybl9zb3VyY2U9YmxvZyZpbnRlcm5fY29udGVudD1kaXNuZXktcGx1cy1tZXRhLXF1ZXN0LWxhdW5jaCJ9&amp;signature=AQAAAevgkHkdgszi19yeO5FKw2ahPJD_wqxgHBgdAeM_jNiU&amp;gcReferrer=https%3A%2F%2Fwww.meta.com%2Fexperiences%2Fdisney%2F10068174916592965%2F%3Fintern_source%3Dblog%26intern_content%3Ddisney-plus-meta-quest-launch"" target=""_blank"">available now</a> on the latest version of Horizon OS. Though Disney+ is for now limited to US-based Quest users, Meta says that international availability is &quot;coming soon.&quot;&nbsp;</p><p><br /></p><p></p>This article originally appeared on Engadget at https://www.engadget.com/ar-vr/disney-is-now-available-to-stream-on-metas-quest-headsets-203622392.html?src=rss",475bae2b0fc9b0bba2ee0f3ac5f1ba8e,rss,2025-12-16T03:41:33.689300
Engadget,Bungie's Marathon will arrive on PS5 and PC in March,https://www.engadget.com/gaming/playstation/bungies-marathon-will-arrive-on-ps5-and-pc-in-march-200838462.html?src=rss,,"<div id=""0985088a39184e8684c6ce75fee3fa74""><div style=""width: 100%; height: 0; padding-bottom: 56.25%;""></div></div> <p>Bungie’s <em>Marathon</em> has a new release window. The survival extraction sho","<div id=""0985088a39184e8684c6ce75fee3fa74""><div style=""width: 100%; height: 0; padding-bottom: 56.25%;""></div></div> <p>Bungie’s <em>Marathon</em> has a new release window. The survival extraction shooter was originally set to hit PlayStation 5 and PC <a href=""https://www.engadget.com/gaming/bungie-shares-first-looks-at-gameplay-from-its-new-shooter-marathon-alongside-a-release-date-213530509.html"">in September</a>, but by June, Sony had <a href=""https://www.engadget.com/gaming/bungie-delays-marathon-indefinitely-190832450.html"">delayed it indefinitely</a>. Now, with a plagiarism issue largely in the rearview mirror, Bungie has <a href=""https://www.bungie.net/7/en/News/Article/marathonvidoc"">confirmed</a> that <em>Marathon </em>will arrive in March and and plans to sell it for $40.</p> <p>Alongside the release date and price announcement, Bungie released a 23-minute video that takes a deep dive into the game and shows off the current state of <em>Marathon. </em>New features include proximity chat and a solo mode, while Bungie says it has upgraded the environmental storytelling and visual fidelity. Gritty environments provide a nice contrast to the glossy sci-fi sheen that defined <em>Marathon</em>’s visual language in our <a href=""https://www.engadget.com/bungie-revives-marathon-as-a-multiplayer-shooter-212630605.html"">earliest looks at the game</a>.</p> <span id=""end-legacy-contents""></span><p>There’s a lot more on deck for <em>Marathon</em>’s first year including new maps and events. Bungie also plans to release more shells, which are akin to character classes that can be customized by changing your loadout. The Rook shell, for instance, is a new one that the studio has added since the alpha playtests. This shell allows you to join a run that's already in progress. You’ll have a limited loadout, but you’re not really risking anything valuable as you run around to loot items.</p> <p>There’s a lot riding on <em>Marathon</em>. Parent company Sony Interactive Entertainment said last month that <em>Destiny 2</em> had <a href=""https://www.engadget.com/gaming/playstation/sony-says-destiny-2-has-not-met-expectations-200000610.html"">not lived up to its expectations</a> and it wrote down the value of Bungie’s assets by $204 million. Back in August, Sony asserted more control over Bungie and said the developer was “shifting into a role that is becoming more part of PlayStation Studios.”</p> <p>That’s hardly the only issue Bungie has faced this year. The studio <a href=""https://www.engadget.com/gaming/playstation/bungie-admits-its-marathon-alpha-included-stolen-artwork-210006323.html"">admitted</a> in May that one of its former employees plagiarized the work of artist Fern Hook by enabling it to be used in <em>Marathon</em>’s in-game textures. Earlier this month, Hook said that Bungie and Sony had resolved the matter “to my satisfaction.”</p>This article originally appeared on Engadget at https://www.engadget.com/gaming/playstation/bungies-marathon-will-arrive-on-ps5-and-pc-in-march-200838462.html?src=rss",31464410a8c820b1f1a74b2e7b079c86,rss,2025-12-16T03:41:35.725505
Engadget,Amazon sells MOBA March of Giants to Ubisoft,https://www.engadget.com/gaming/amazon-sells-moba-march-of-giants-to-ubisoft-183948291.html?src=rss,,"<p><a class=""link"" href=""https://www.engadget.com/gaming/beyond-good--evil-2-is-somehow-still-under-development-185230052.html"" target=""_blank"">Ubisoft</a> is moving deeper into MOBAs after buying <em","<p><a class=""link"" href=""https://www.engadget.com/gaming/beyond-good--evil-2-is-somehow-still-under-development-185230052.html"" target=""_blank"">Ubisoft</a> is moving deeper into MOBAs after buying <em>March of Giants</em> from <a class=""link"" href=""https://www.engadget.com/amazon-is-winding-down-its-still-popular-new-world-mmo-amid-mass-layoffs-150500426.html"" target=""_blank"">Amazon</a> and acquiring the team that made the game. As part of the <a class=""link rapid-with-clickid"" href=""https://shopping.yahoo.com/rdlw?siteId=us-engadget&amp;pageId=1p-autolink&amp;contentUuid=3db79d71-d375-4ff8-8b02-f502e57de22c&amp;featureId=text-link&amp;linkText=agreement&amp;custData=eyJzb3VyY2VOYW1lIjoiV2ViLURlc2t0b3AtVmVyaXpvbiIsImxhbmRpbmdVcmwiOiJodHRwczovL25ld3MudWJpc29mdC5jb20vZW4tY2EvYXJ0aWNsZS82VFlnTHNSa1ZZUDk3aFZIMFJoem43L3ViaXNvZnQtYWNxdWlyZXMtbWFyY2gtb2YtZ2lhbnRzLWZyb20tYW1hem9uIiwiY29udGVudFV1aWQiOiIzZGI3OWQ3MS1kMzc1LTRmZjgtOGIwMi1mNTAyZTU3ZGUyMmMiLCJvcmlnaW5hbFVybCI6Imh0dHBzOi8vbmV3cy51Ymlzb2Z0LmNvbS9lbi1jYS9hcnRpY2xlLzZUWWdMc1JrVllQOTdoVkgwUmh6bjcvdWJpc29mdC1hY3F1aXJlcy1tYXJjaC1vZi1naWFudHMtZnJvbS1hbWF6b24ifQ&amp;signature=AQAAAYvsG7A3ZimBZz3Uf7oyAp2ua5KV2YL_c6ibSa2Z0lJd&amp;gcReferrer=https%3A%2F%2Fnews.ubisoft.com%2Fen-ca%2Farticle%2F6TYgLsRkVYP97hVH0Rhzn7%2Fubisoft-acquires-march-of-giants-from-amazon"" target=""_blank"">agreement</a>, Amazon will help promote <em>March of Giants</em> on Twitch. The deal is expected to close on December 16</p><p>There’s no release date as yet for <em>March of Giants</em>. Amazon announced the free-to-play game back in August and there was a closed alpha playtest the following month. The next playtest will take place in 2026. The next major update for <em>March of Giants </em>will include “new giants, expanded competitive modes and foundational systems designed to support long-term growth.”</p><p><em>March of Giants </em>is a 4v4 game in which players control giant war commanders. You’ll lead armies with thousands of soldiers and send them to attack enemy giants. Likewise, you’ll have to fend off the other team’s minions. You can also deploy reinforcements (called Battleworks) like trenches, tanks and bunkers to help you win a match.</p><div><div style=""width: 100%; height: 0; padding-bottom: 56.25%;""></div></div><p>MOBAs aren’t entirely new territory for Ubisoft. While it’s ostensibly a third-person action game, <a class=""link"" href=""https://www.engadget.com/2018-05-23-ubisoft-ai-gaming-assistant-available.html"" target=""_blank""><em>For Honor</em></a><em> </em>checks all the MOBA criteria too. Although it clearly sees an opportunity in the MOBA market, Ubisoft will have a job on its hands to make <em>March of Giants </em>succeed in a space that’s dominated by <em>League of Legends </em>and <em>Dota 2</em>.</p><p><em>March of Giants </em>was in development at Amazon Games Montreal, a studio that was <a class=""link"" href=""https://store.steampowered.com/news/app/1924600?emclan=103582791475278691&amp;emgid=530982192097001777"" target=""_blank"">established five years ago</a>. Several former Ubisoft employees are returning to that company as part of this deal. Many of them were part of the original creative team behind <em>Rainbow Six Siege</em>, including Amazon Games Montreal founder and <em>March of Giants </em>creative director Xavier Marquis.</p>This article originally appeared on Engadget at https://www.engadget.com/gaming/amazon-sells-moba-march-of-giants-to-ubisoft-183948291.html?src=rss",16cc027b1e5b28e532f2906aa83e4c06,rss,2025-12-16T03:41:36.858964
